scene_id,im_id,obj_id,score,R,t,time
5,7,1,1.0,0.9234582815684442 0.3621012835894993 -0.12691517886168355 -0.3553415416457975 0.9318676809623324 0.07317796088080472 0.14476598697015822 -0.02247855868870801 0.9892105556532614,-36.889177974208614 31.01264082369731 576.25789698081,9.82150936126709
5,7,1,0.0032958679521659785,-0.37036913863443455 -0.575223625913573 0.7293452415269664 -0.3321257502139727 0.8152844277740324 0.4743456417782024 -0.8674786378879845 -0.06655134874674395 -0.4930027695540832,-15.306401780341545 -85.86591204463159 721.1286112192668,9.82150936126709
5,20,1,1.0,0.9908104820632557 -0.0859026044185838 -0.10447646236202242 0.08545433647189118 0.9963035102476506 -0.008767659115085098 0.10484343094217964 -0.00024087821369337282 0.994488711331586,-62.99860551616872 -21.457978898495245 623.3992743706681,1.3806977272033691
5,20,1,0.004823960399337854,0.9331808522084561 -0.16095608395930613 -0.3213512659193743 0.1951301549051255 0.9777570038789225 0.07691205375241528 0.30182398797676985 -0.13447817816358715 0.9438314997284214,11.012368707186328 4.6678825571612474 538.9723193737249,1.3806977272033691
5,20,1,0.0015202500073671478,0.8222116641175248 0.17274241931365508 0.5423357225545409 -0.3241455430092221 0.9253339101163413 0.1966896584369888 -0.46786498729478265 -0.33751623865892455 0.8168140194102845,14.747413783865827 -0.39044086447385484 565.6506908984852,1.3806977272033691
5,25,1,1.0,0.9957369218540862 -0.012579716900571 -0.09137687442263989 0.0009733013435545348 0.9920341139903056 -0.12596574678841857 0.09223359009083429 0.1253398077315058 0.9878172388943134,-53.58646110911213 -42.17412000125436 609.223637313496,0.2848210334777832
5,31,1,1.0,0.975417355296828 -0.03319112841545785 -0.21785162836263144 0.009720298469996351 0.9941101951411411 -0.10793718411231895 0.22015108172206577 0.10316621981516547 0.9699949650929397,-35.09114030968486 -64.82255075298589 659.9345710267751,0.3598289489746094
5,43,1,1.0,0.9992843537758139 -0.012131457389093192 0.035827476054985444 0.014457097243782852 0.9977554813303481 -0.06538342155722125 -0.03495386442351897 0.06585459146378568 0.9972168270466559,22.85433546950064 -58.19471703775559 601.8613160450982,0.27538561820983887
5,56,1,1.0,0.9989933636706633 0.044841532248860935 -0.0012232446804321948 -0.044772994487876513 0.9950446645958965 -0.08877778113823558 -0.0027637486431331404 0.08874318252583825 0.9960507061634079,67.97595861234734 -10.6461060216159 824.2362462654993,0.17315125465393066
5,56,1,0.0012104823856321804,-0.24349791467248022 -0.7504834573402965 0.6143967332340795 0.5281400019961664 0.42871590385581 0.7329875933960854 -0.8134967140939432 0.5029684423894314 0.29196890608197673,15.008500247166506 -39.41019827405137 710.4765593024559,0.17315125465393066
